8
輪	바퀴 륜
離	떠날 리
妹	누이 매
勉	힘쓸 면
鳴	울 명
模	본뜰 모
墓	무덤 묘
妙	묘할 묘
舞	춤출 무
拍	칠 박
髮	터럭 발
妨	방해할 방
犯	범할 범
範	법 범
辯	말씀 변
普	넓을 보
伏	엎드릴 복
複	겹칠 복
否	아닐 부
否	막힐 비
負	질 부
憤	분할 분
粉	가루 분
批	비평할 비
碑	비석 비
秘	숨길 비
射	쏠 사
私	사사 사
絲	실 사
辭	말씀 사
散	흩을 산
傷	다칠 상
象	코끼리 상
宣	베풀 선
舌	혀 설
屬	붙일 속
損	덜 손
松	소나무 송
頌	칭송할 송
秀	빼어날 수
叔	아재비 숙
肅	엄숙할 숙
崇	높을 숭
氏	성 씨
額	이마 액
樣	모양 양
嚴	엄할 엄
與	더불 여
與	줄 여
域	지경 역
易	바꿀 역
易	쉬울 이
延	늘일 연
燃	탈 연
緣	인연 연
鉛	납 연
映	비칠 영
營	경영할 영
迎	맞을 영
豫	미리 예
優	넉넉할 우
遇	만날 우
郵	우편 우
怨	원망할 원
援	도울 원
源	근원 원
危	위태할 위
圍	에워살 위
委	맡길 위
威	위엄 위
慰	위로할 위
乳	젖 유
儒	선비 유
遊	놀 유
遺	남길 유
隱	숨을 은
依	의지할 의
儀	거동 의
疑	의심할 의
異	다를 이
仁	어질 인
姉	손위누이 자
姿	모양 자
資	재물 자
殘	남을 잔
雜	섞일 잡
壯	장할 장
奬	장려할 장
帳	장막 장
張	베풀 장
腸	창자 장
裝	꾸밀 장
底	밑 저
積	쌓을 적
籍	문서 적
績	길쌈 적
賊	도둑 적
適	맞을 적
專	오로지 전
轉	구를 전
錢	돈 전
折	꺽을 절
占	점칠/점령할 점
點	점 점
丁	고무래 정
整	가지런할 정
靜	고요할 정
帝	임금 제
條	가지 조
潮	조수 조
組	짤 조
存	있을 존
從	좇을 종
鐘	쇠북 종
座	자리 좌
周	두루 주
朱	붉을 주
酒	술 주
證	증거 증
持	가질 지
智	지혜 지
誌	기록할 지
織	짤 직
珍	보배 진
盡	다할 진
陣	진칠 진
差	다를 차
差	어긋날 치
採	캘 채
冊	책 책
泉	샘 천
廳	관청 청
聽	들을 청
招	부를 초
推	밀 추
推	밀 퇴
縮	줄일 축
就	나아갈 취
趣	뜻 취
層	층 층
寢	잘 침
針	바늘 침
稱	일컬을 칭
彈	탄알 탄
歎	탄식할 탄
脫	벗을 탈
探	찾을 탐
擇	가릴 택
討	칠 토
痛	아플 통
投	던질 투
鬪	싸움 투
派	갈래 파
判	판단할 판
篇	책 편
評	평할 평
閉	닫을 폐
胞	세포 포
爆	불터질 폭
標	표할 표
疲	피곤할 피
避	피할 피
恨	한 한
閑	한가할 한
抗	겨룰 항
核	씨 핵
憲	법 헌
險	험할 험
革	가죽 혁
顯	나타날 현
刑	형벌 형
好	좋을 호
或	혹 혹
婚	혼인할 혼
混	섞을 혼
紅	붉을 홍
華	빛날 화
歡	기쁠 환
環	고리 환
況	상황 황
灰	재 회
候	기후 후
厚	두터울 후
揮	휘두를 휘
吸	마실 흡
喜	기쁠 희
준3
佳	아름다울 가
脚	다리 각
閣	집 각
刊	새길 간
幹	줄기 간
懇	간절할 간
肝	간 간
鑑	거울 감
剛	굳셀 강
綱	벼리 강
介	낄 개
槪	대개 개
距	상거할 거
乾	하늘 건
乾	마를 간
劍	칼 검
兼	겸할 겸
謙	겸손할 겸
